Sigla,Codigo,Município,Despesa,Receita,score_total,Receita-capital,Despesa-capital,score_capital,PIB
RN,2406601,Lagoa Salgada,7683288,13303826,0.5775246895,"245,071",1246240,5.085219,16695
RN,2406700,Lajes,11002910,17117906,0.6427719696,"1,483,120",3194143,2.153665,23227
RN,2406809,Lajes Pintadas,6139413,10012932,0.6131484002,"80,101",125698,1.569248,9904
RN,2406908,Lucrécia,5562697,9155838,0.6075573976,"589,223",1537701,2.609710,8093
RN,2407005,Luís Gomes,10596538,15499188,0.6836834418,"2,028,845",1871877,0.922632,19888
RN,2407104,Macaíba,60621110,98487990,0.6155177934,"4,870,882",10624080,2.181141,326043
RN,2407203,Macau,,,#DIV/0!,"1,567,096",10510548,6.707024,202685
RN,2407252,Major Sales,4900077,9628907,0.508892331,"996,158",988850,0.992664,7882
RN,2407302,Marcelino Vieira,,,#DIV/0!,"1,087,531",486764,0.447586,18761
RN,2407401,Martins,6803345,11650698,0.5839431323,"537,857",1022877,1.901765,16762
RN,2407500,Maxaranguape,10330044,18744539,0.5510961727,"1,529,921",2248643,1.469777,23845
RN,2407609,Messias Targino,5366363,10178645,0.5272178694,"641,288",1616014,2.519952,11875
RN,2407708,Montanhas,,,#DIV/0!,"196,515",914814,4.655187,22910
RN,2407807,Monte Alegre,18612381,28741608,0.6475762015,"123,545",1769364,14.321646,47512
RN,2407906,Monte das Gameleiras,,,#DIV/0!,"3,000",343841,114.613667,5451
RN,2408003,Mossoró,231335777,393419649,0.5880127696,"553,513",29948621,54.106411,1560258
RN,2408102,Natal,798423375,1383142191,0.577253286,"3,490,323",58739271,16.829178,5353229
RN,2408201,Nísia Floresta,22962292,36700873,0.6256606629,"1,430,880",7439823,5.199474,60214
RN,2408300,Nova Cruz,25802574,38018303,0.6786882014,"214,660",1284905,5.985773,93581
RN,2408409,Olho-d'Água do Borges,4560410,11366866,0.4012020409,0,1992264,#DIV/0!,9496
RN,2408508,Ouro Branco,6221816,10407844,0.5978006925,"36,217",1692682,46.736707,12964
RN,2408607,Paraná,5729837,9491074,0.6037079774,0,477148,#DIV/0!,8415
RN,2408706,Paraú,,,#DIV/0!,,,#DIV/0!,7554
RN,2408805,Parazinho,6414576,13402744,0.4786016848,"616,912",1505588,2.440522,9291
RN,2408904,Parelhas,14948179,26004511,0.5748302485,"2,416,160",2628063,1.087702,57137
RN,2408953,Rio do Fogo,9574275,18692863,0.5121888017,0,1092583,#DIV/0!,24582
RN,2409100,Passa e Fica,10791396,18585114,0.5806472821,"237,000",1586564,6.694363,22069
RN,2409209,Passagem,5269560,9722630,0.5419891329,"692,215",1147661,1.657955,7199
RN,2409308,Patu,8651306,15967364,0.5418118042,"260,188",2121040,8.151956,26500
RN,2409332,Santa Maria,,,#DIV/0!,"86,860",897505,10.332833,10182
RN,2409407,Pau dos Ferros,20209250,43422551,0.4654091012,"169,549",6431783,37.934569,100622
RN,2409506,Pedra Grande,6724627,10688267,0.6291596604,"756,749",1090284,1.440747,10386
RN,2409605,Pedra Preta,6072287,9451743,0.6424515011,"317,790",542147,1.705991,6435
RN,2409704,Pedro Avelino,7488422,12593324,0.594634265,"970,139",1435798,1.479992,16817
RN,2409803,Pedro Velho,13720513,20462115,0.6705324919,"397,790",1595409,4.010682,31530
RN,2409902,Pendências,24003963,44997699,0.533448676,"75,298",8665461,115.082006,63796
RN,2410009,Pilões,,,#DIV/0!,0,315302,#DIV/0!,8608
RN,2410108,Poço Branco,,,#DIV/0!,"372,292",2259814,6.070012,26339
RN,2410207,Portalegre,7995368,11871110,0.6735147252,"1,027,184",1363146,1.327071,15123
RN,2410256,Porto do Mangue,9627516,16919110,0.5690320884,"196,020",893379,4.557591,63237
RN,2410306,Presidente Juscelino,8940566,15149591,0.5901522719,"482,618",1593732,3.302263,18486
RN,2410405,Pureza,9682144,14930955,0.6484611417,"744,989",1474937,1.979810,19616
RN,2410504,Rafael Fernandes,4061228,8225159,0.4937567597,"905,123",1132362,1.251059,11528
RN,2410603,Rafael Godeiro,,,#DIV/0!,"393,229",815727,2.074432,7097
RN,2410702,Riacho da Cruz,4959626,9334601,0.5313164071,"43,279",2636114,60.909518,6699
RN,2410801,Riacho de Santana,6538935,10162293,0.6434507019,"420,750",379713,0.902467,10080
RN,2410900,Riachuelo,8515397,11622691,0.7326527179,"995,417",1064321,1.069221,14905
RN,2411007,Rodolfo Fernandes,,,#DIV/0!,0,1286448,#DIV/0!,9260
RN,2411056,Tibau,,,#DIV/0!,"8,792",61185,6.958851,14683
RN,2411106,Ruy Barbosa,6630752,10295161,0.6440648972,"3,048,152",3611795,1.184913,7939
RN,2411205,Santa Cruz,26012995,42057672,0.6185077255,"1,435,051",6970292,4.857173,85372
RN,2411403,Santana do Matos,11305790,21143854,0.5347081206,"1,574,940",1954472,1.240982,29824
RN,2411429,Santana do Seridó,4629474,8232464,0.5623436178,"347,267",682564,1.965531,7716
RN,2411502,Santo Antônio,17788897,27899778,0.6375999585,"490,046",1062099,2.167347,52446
RN,2411601,São Bento do Norte,5961674,10177363,0.5857779141,"778,814",503530,0.646535,10314
RN,2411700,São Bento do Trairí,,,#DIV/0!,"601,521",1299741,2.160759,8212
RN,2411809,São Fernando,5029200,9568410,0.5256046124,"45,282",1041433,22.998814,15212
RN,2411908,São Francisco do Oeste,4354649,8838014,0.4927180455,0,85396,#DIV/0!,8852
RN,2412005,São Gonçalo do Amarante,,,#DIV/0!,"27,971",8928867,319.215531,425609
RN,2412104,São João do Sabugi,5118579,10179028,0.502855334,"1,346,155",1614823,1.199582,15788
RN,2412203,São José de Mipibu,36649221,54468983,0.6728456995,"67,575",3735662,55.281594,116168
RN,2412302,São José do Campestre,,,#DIV/0!,"161,583",277623,1.718147,24870
RN,2412401,São José do Seridó,5481813,10201853,0.537335055,"1,291,755",1608770,1.245414,14337
RN,2412500,São Miguel,19488281,31185448,0.6249158717,"2,065,220",2987687,1.446668,49975
RN,2412559,São Miguel de Touros,9586155,16440240,0.5830909509,"876,550",1015162,1.158133,21589
RN,2412609,São Paulo do Potengi,13865365,23031217,0.6020248705,"2,628,568",3895055,1.481816,44690
RN,2412708,São Pedro,6740609,10905128,0.6181137598,"54,817",689301,12.574601,13845
RN,2412807,São Rafael,7383759,11658081,0.6333596746,"144,630",1536267,10.622021,19626
RN,2412906,São Tomé,12178137,18915758,0.6438090614,"1,867,246",2528849,1.354320,20894
RN,2413003,São Vicente,7474639,13018651,0.5741485196,0,1114191,#DIV/0!,12472
RN,2413102,Senador Elói de Souza,6775820,12120579,0.5590343427,"832,071",1625184,1.953181,11990
RN,2413201,Senador Georgino Avelino,6551234,10499340,0.6239662374,"224,916",461509,2.051918,9639
RN,2413300,Serra de São Bento,,,#DIV/0!,0,598238,#DIV/0!,9891
RN,2413359,Serra do Mel,11511953,19849799,0.5799531299,"1,585,615",2655088,1.674485,28395
RN,2413409,Serra Negra do Norte,6625658,12892045,0.5139338467,"1,293,012",2436729,1.884536,17972
RN,2413508,Serrinha,8351596,13208484,0.6322902732,"662,169",1283032,1.937619,16571
RN,2413557,Serrinha dos Pintos,5933261,10095714,0.5877009749,"1,211,823",1192487,0.984044,9128
RN,2413607,Severiano Melo,,,#DIV/0!,,,#DIV/0!,13226
RN,2413706,Sítio Novo,6382591,10682017,0.5975080587,"1,389,897",1844698,1.327220,10560
RN,2413805,Taboleiro Grande,,,#DIV/0!,0,2410558,#DIV/0!,5815
RN,2413904,Taipu,11951812,17433334,0.6855723273,"100,000",798689,7.986890,33875
RN,2414001,Tangará,13066882,21065203,0.6203064977,"25,350",1357769,53.560907,34074
RN,2414100,Tenente Ananias,9354997,13733412,0.6811852497,"526,352",648501,1.232068,20683
RN,2414159,Tenente Laurentino Cruz,8190862,13949705,0.5871709998,0,979761,#DIV/0!,12434
RN,2414209,Tibau do Sul,14003821,22168635,0.6316952249,"699,540",3032500,4.334992,36048
RN,2414308,Timbaúba dos Batistas,3492287,9229545,0.3783812462,"140,000",274111,1.957936,6039
RN,2414407,Touros,27422106,43677320,0.6278339849,"960,000",3791438,3.949415,94017
RN,2414456,Triunfo Potiguar,,,#DIV/0!,"1,339,749",1772520,1.323024,7919
RN,2414506,Umarizal,9912905,16582263,0.5978017114,"651,500",1821773,2.796275,27797
RN,2414605,Upanema,13246416,21362324,0.6200831023,"1,898,769",3833228,2.018797,40060
RN,2414704,Várzea,6161422,9767467,0.6308106501,"145,431",661107,4.545846,11670
RN,2414753,Venha-Ver,5730441,11884547,0.4821757672,"1,314,061",2302052,1.751860,7638
RN,2414803,Vera Cruz,9824469,16773645,0.5857086627,"1,261,176",3868605,3.067459,22537
RN,2414902,Viçosa,5087824,8620427,0.5902055786,"1,979,763",1549129,0.782482,4016
RN,2415008,Vila Flor,,,#DIV/0!,0,181226,#DIV/0!,7201
RO,1100015,Alta Floresta D'Oeste,29430145,43986838,0.6690670778,"3,472,567",5014974,1.444169,149764
